No,SAP CODE,STORE NAME,LAT,LONG,Store Address
138,M122,MEGASTORE RUKO JALAN MERDEKA BOGOR,-6.5949588,106.7882511,"Jl.Merdeka no 15 Rt 005/001 Kel.Ciwaringin, kec.Bogor tengah, kota bogor, Jawabarat"
139,M002,MEGASTORE TAMAN PALEM PADJAJARAN,-6.6184211,106.8157654,"Ruko Taman Palem, Jl. Sukasari III No.1, Sukasari, Kec. Bogor Tim., Kota Bogor, Jawa Barat 16142"
140,G137,ELEC CITY MAL METROPOLITAN,-6.2491017,106.9898013,"Gedung Mal Metropolitan 1st Floor Jl. KH. Noer Ali No. 08 II, RT.001/RW.005, Kayuringin Jaya, Kec. Bekasi Sel., Kota Bks, Jawa Barat 17148"
141,G428,ERABLUE BINTARA BEKASI,-6.2312309,106.9595638,"Jl. Bintara Raya No. 2, RT.008/RW.013, Bintara, Bintara, Kota Bekasi, Jawa Barat"
142,G450,ERABLUE JATIWARINGIN BEKASI,-6.2764473,106.9129901,"Jl. Raya Jatiwaringin, RT.003/RW.002, Jatiwaringin, Kec. Pd. Gede, Kota Bks, Jawa Barat 17411, Indonesia"
143,G440,ERABLUE PATRIOT BEKASI,-6.2465993,106.9655912,"JL. Patriot Nomor 16, RT 002, RW 003, Kelurahan Jaka Sampurna, Kecamatan Bekasi Barat, Kota Bekasi, Provinsi Jawa Barat"
144,M196,ERAFONE & MORE SULTAN AGUNG BEKASI,-6.2166467,106.9749991,"Jl.Sultan Agung 72 Kel.Kali Baru ,Kec.Medan Satria Kota Bekasi,Jawa Barat (17132)"
145,F049,ERAFONE 2.5 JATIWARINGIN 2,-6.2805392,106.9125819,"Jl. Raya Jatiwaringin No. 226, Kel. Jatiwaringin, Kec. Pondok Gede, Kota Bekasi, Jawa Barat, 17411"
146,F020,ERAFONE 2.5 KRANGGAN,-6.3224371,106.945023,"Jl.Raya Kranggan No.53 Rt002/010, Kel. Jatiraden,Kec.Jatisampurna Kota Bekasi 17432"
147,E624,ERAFONE KH NOER ALI,-6.2477043,106.9892344,"Jl Lele XI 192 Rt 008 Rw 05 Kayuringin Jaya,Bekasi Selatan,Kota Bekasi,Jawa Barat,Kode Pos :17144"
148,E011,ERAFONE MALL METROPOLITAN 2,-6.2857277,106.970127,"Mall Metropolitan Bekasi Lt 2 No. 330, Jl. KH. Noer Ali, RT.008/RW.002, Pekayon Jaya, Kec. Bekasi Sel., Kota Bks, Jawa Barat 17148"
149,E700,ERAFONE MB BINTARA JAYA BEKASI,-6.2387468,106.9507773,"Jl.Bintara Raya Kav.3D No.18 Rt05/003,Bintara Jaya  Kecamatan Bekasi Barat,Kota Bekasi,Jawa Barat,17136"
150,M144,ERAFONE MS PEMUDA KRANJI,-6.2317048,106.9748421,"Jl. Pemuda Kranji No.116, Perumnas No.1, RT.003/RW.004, Kranji, Kec. Bekasi Bar., Kota Bks, Jawa Barat 17135"
151,E031,ERAFONE PLAZA PONDOK GEDE,-6.2831495,106.9117273,"Plaza Pondok Gede Lantai Basement No. 3, Jatiwaringin, RT.001/RW.12, Jatiwaringin, Kec. Pondokgede, Kota Bks, Jawa Barat 13720"
152,E407,ERAFONE RUKO CAMAN,-6.260477,106.9478339,"Jl. Caman Raya, No. 168C  RT.002/RW.003 , Jatibening, Kec. Pd. Gede, Bekasi Selatan, Jawa Barat 17412"
153,E256,ERAFONE RUKO JATIASIH BEKASI,-6.3043751,106.9564397,"jl wibawa mukti II RT 002/RW 007,Kelurahan Jatiasih,Kecamatan Jatiasih,Kota Bekasi"
154,E393,ERAFONE RUKO JATIMAKMUR,-6.2852225,106.9278241,"Jl. Raya Jati Makmur, RT.002/RW.005, Jatimakmur, Kec. Pd. Gede, Kota Bks, Jawa Barat"
155,E471,ERAFONE RUKO JATIMAKMUR 2,-6.2845905,106.9331554,"Jl. Raya Jatimakmur No 6A, Kel. Jatimakmur, Kec. Pondok Gede, Kota Bekasi, Jawa Barat, 17413"
156,E335,ERAFONE RUKO TAMAN GALAXY BEKASI,-6.2563276,106.9684575,"Jl. Taman Galaxy Raya, RT 002/RW 010, Kel. Jakasetia, Kec. Bekasi, Kota Bekasi 17147"
157,Q018,GALERI ISAT METROPOLITAN MALL,-6.2480214,106.991613,"Mall Metropolitan Lt. Dasar No. 1 Lobi Timur, Jl. Villa Raya, RT.008/RW.002, Pekayon Jaya, Kec. Bekasi Sel., Kota Bks, Jawa Barat 17148"
158,M005,MEGASTORE MAL METROPOLITAN,-6.2487836,106.9907733,"Mall Metropolitan Bekasi Lt 3 No. 3,4,5,6,7,8,9 Jl. KH. Noer Ali, RT.008/RW.002, Pekayon Jaya, Kec. Bekasi Sel., Kota Bks, Jawa Barat 17148"
